year,Počet závodů v kalendáři MS,Podíl městských okruhů,Podíl závodů pod umělým osvětlením
1950,7.0,14.285714285714285,
1951,8.0,,
1952,8.0,,
1953,9.0,,
1954,9.0,,
1955,7.0,14.285714285714285,
1956,8.0,12.5,
1957,8.0,12.5,
1958,11.0,18.181818181818183,
1959,9.0,22.22222222222222,
1960,10.0,20.0,
1961,8.0,12.5,
1962,9.0,11.11111111111111,
1963,10.0,10.0,
1964,10.0,10.0,
1965,10.0,10.0,
1966,9.0,11.11111111111111,
1967,11.0,9.090909090909092,
1968,12.0,8.333333333333332,
1969,11.0,9.090909090909092,
1970,13.0,7.6923076923076925,
1971,11.0,9.090909090909092,
1972,12.0,8.333333333333332,
1973,15.0,6.666666666666667,
1974,15.0,6.666666666666667,
1975,14.0,7.142857142857142,
1976,16.0,12.5,
1977,17.0,11.76470588235294,
1978,16.0,18.75,
1979,15.0,20.0,
1980,14.0,21.428571428571427,
1981,15.0,26.666666666666668,
1982,16.0,31.25,
1983,15.0,26.666666666666668,
1984,16.0,25.0,
1985,16.0,25.0,
1986,16.0,25.0,
1987,16.0,18.75,
1988,16.0,25.0,
1989,16.0,25.0,
1990,16.0,25.0,
1991,16.0,25.0,
1992,16.0,18.75,
1993,16.0,18.75,
1994,16.0,18.75,
1995,17.0,17.647058823529413,
1996,16.0,18.75,
1997,17.0,17.647058823529413,
1998,16.0,18.75,
1999,16.0,18.75,
2000,17.0,17.647058823529413,
2001,17.0,17.647058823529413,
2002,17.0,17.647058823529413,
2003,16.0,18.75,
2004,18.0,16.666666666666664,
2005,19.0,15.789473684210526,
2006,18.0,16.666666666666664,
2007,17.0,17.647058823529413,
2008,18.0,27.77777777777778,5.555555555555555
2009,17.0,23.52941176470588,11.76470588235294
2010,19.0,26.31578947368421,10.526315789473683
2011,19.0,26.31578947368421,10.526315789473683
2012,20.0,25.0,10.0
2013,19.0,21.052631578947366,10.526315789473683
2014,19.0,26.31578947368421,15.789473684210526
2015,19.0,26.31578947368421,15.789473684210526
2016,21.0,28.57142857142857,14.285714285714285
2017,20.0,30.0,15.0
2018,21.0,28.57142857142857,14.285714285714285
2019,21.0,28.57142857142857,14.285714285714285
2020,17.0,5.88235294117647,17.647058823529413
2021,22.0,18.181818181818183,18.181818181818183
2022,22.0,31.818181818181817,18.181818181818183
2023,23.0,34.78260869565217,26.08695652173913
