,Celková vzdálenost od prvního do posledního závodu mistrovství světa Formule 1,Nacestovaná vzdálenost ve srovnání s přejížděním vždy na nejbližší okruh až do reálného dějiště posledního závodu sezóny
1950,16767.31463719803,202.20407913056926
1951,16550.631085071785,194.48995815039362
1952,16412.887905429263,199.8779454827664
1953,17502.808882711124,105.43460122407322
1954,18198.408233600352,105.37977207627105
1955,27157.660983202495,162.77983223461644
1956,26971.055851855246,159.78491867440724
1957,27762.609190798034,156.41407543915273
1958,31809.24595821519,155.15503981313077
1959,28029.68658380458,221.2904343521172
1960,38483.16147619886,163.3123174093316
1961,9961.578607478965,136.62400555836157
1962,24056.30164178737,148.00245609875594
1963,27372.225364741586,140.71336186163356
1964,13287.212390638084,113.52277076957826
1965,21933.212822016405,110.32935789668336
1966,12299.859264295468,115.29261656641023
1967,33367.139162451145,166.89467055704506
1968,21669.127087270463,107.57130679492717
1969,22184.433141704314,114.25236483164356
1970,22986.16302254685,106.59796982188834
1971,20080.378670985672,116.61104625190337
1972,27586.935023249163,104.53617818532577
1973,31889.513150004746,111.5968838456996
1974,31157.52947202153,107.00310040823022
1975,30460.76486811725,107.4580641573404
1976,60199.51525268996,143.9934252668607
1977,59959.21395915261,141.00454855999178
1978,52494.86589939032,143.45775867488268
1979,48029.395692622325,139.85344424987963
1980,46754.61214867965,144.23915379133646
1981,40470.87471134919,168.75692610489347
1982,55210.36551203349,197.32857506020875
1983,46843.24227538331,152.09056836100945
1984,39464.73590739264,135.132834748489
1985,47965.1629169519,138.16666869394325
1986,51619.40411030589,148.88082786576692
1987,58619.98460850263,152.10785646720956
1988,56193.50745910067,145.9965728731948
1989,56341.12765849232,140.0120167702481
1990,64163.396691351416,160.37648141295267
1991,63186.16563602729,157.25884987653208
1992,68203.41807050548,148.92093654665547
1993,55845.819405153736,129.96585111657356
1994,65441.495783482525,183.50407915197212
1995,50577.81827147412,136.2936734433104
1996,55930.61860522361,134.83855653537705
1997,63834.201794892586,161.82538846907482
1998,53832.392731755506,137.91562681801386
1999,55627.27519861601,132.13543558027536
2000,65545.04167384314,141.525218732704
2001,68644.9244418087,154.19522236093812
2002,68501.99774615251,153.87417002098397
2003,67829.13597815284,152.36937571278347
2004,65336.52643684204,151.59826624440052
2005,67786.4389833657,138.81148226866625
2006,78453.33402177395,181.9704785868938
2007,67030.16307143451,155.63106675222807
2008,74634.27127526714,179.55560086565598
2009,77986.32114745185,180.13091490169134
2010,99435.60977409146,216.10562949525706
2011,72617.52996052057,175.89221492934607
2012,83156.06068943668,189.22152691357678
2013,81314.60994027035,187.81315599744514
2014,100573.62149527151,208.93477366770696
2015,93769.31839031461,193.35772763609873
2016,99069.68166834614,202.14212971346544
2017,90152.28887968586,184.65836785327272
2018,104696.56257434888,214.74777526456256
2019,106120.5643483408,217.6686086273618
2020,18098.210081601577,200.6026318246216
2021,57464.041040764954,201.45354289555354
2022,116138.73831761564,223.81042495732189
2023,132165.33095973736,235.67180846005917
